"year","value","prev_value","yoy_diff"
2024,NULL,"4.27980632492102",NULL
1998,"4.11926483190579","5.46162343331999","-1.342"
1981,"2.57513343382563","3.82581155138997","-1.251"
1992,"4.14043176694847","3.0646380732013","1.076"
1993,"5.21688363666949","4.14043176694847","1.076"
1999,"3.14352865799616","4.11926483190579","-0.976"
1991,"3.0646380732013","3.94988830686587","-0.885"
1997,"5.46162343331999","4.68175885565357","0.780"
1979,"4.39301416475549","3.65982127840086","0.733"
1976,"3.87547388836243","3.18725317033909","0.688"
